"","codice_regione","denominazione_regione","lat","long","death_in_first_wave","case_in_first_wave","death_ratio_in_first_wave","death_in_second_wave","case_in_second_wave","death_ratio_in_second_wave","death_in_third_wave","case_in_third_wave","death_ratio_in_third_wave","death_in_fourth_wave","case_in_fourth_wave","death_ratio_in_fourth_wave","death_in_fifth_wave","case_in_fifth_wave","death_ratio_in_fifth_wave"
"1",13,"Abruzzo",42.35122196,13.39843823,405,3242,12.4922887106724,986,38427,2.5659041819554,1015,31194,3.25383086490992,80,8961,0.892757504742774,396,180350,0.219573052398115
"2",17,"Basilicata",40.63947052,15.80514834,27,399,6.76691729323308,297,12423,2.39072687756581,253,13085,1.9335116545663,45,4455,1.01010101010101,138,52361,0.263554935925593
"3",18,"Calabria",38.90597598,16.59440194,97,1157,8.38375108038029,492,30762,1.59937585332553,575,34185,1.68202427965482,282,20618,1.36773692889708,642,127964,0.501703604138664
"4",15,"Campania",40.83956555,14.25084984,412,4789,8.6030486531635,3294,209443,1.57274294199376,3449,197084,1.75001522193582,857,47949,1.78731568958685,1688,738736,0.228498408091659
"5",8,"Emilia-Romagna",44.49436681,11.3417208,4110,27573,14.9058861930149,4992,183340,2.72281007963347,3710,165228,2.24538213862057,409,48395,0.845128628990598,2310,753900,0.306406685236769
"6",6,"Friuli Venezia Giulia",45.6494354,13.76813649,333,3273,10.1741521539872,2043,62868,3.24966596678756,1393,39472,3.52908390758006,69,10223,0.674948645211777,920,190946,0.481811611659841
"7",12,"Lazio",41.89277044,12.48366722,735,7722,9.51825951825952,4066,188973,2.15163012705519,3191,136575,2.33644517664287,621,53123,1.16898518532462,1630,679534,0.239870264033882
"8",7,"Liguria",44.41149315,8.9326992,1465,9621,15.2271073692963,1748,56333,3.10297694069196,971,33093,2.93415525942042,103,12155,0.847387906211436,671,229984,0.29175942674273
"9",3,"Lombardia",45.46679409,9.190347404,16089,88353,18.209907982751,10143,431327,2.35158012366488,6513,297063,2.1924642247604,548,59466,0.921534994786937,4444,1437977,0.309045276802063
"10",11,"Marche",43.61675973,13.5188753,987,6719,14.6896859651734,976,47532,2.0533535302533,1049,47195,2.22269308189427,92,13550,0.678966789667897,485,210843,0.230028978908477
"11",14,"Molise",41.55774754,14.65916051,22,436,5.04587155963303,243,7699,3.1562540589687,224,5232,4.28134556574923,7,1082,0.646950092421442,70,24328,0.287734297928313
"12",21,"P.A. Bolzano",46.49933453,11.35662422,291,2596,11.2095531587057,581,36628,1.58621819373157,302,32730,0.922700886037275,28,6162,0.454397922752353,210,108968,0.192717127964173
"13",22,"P.A. Trento",46.06893511,11.12123097,462,4430,10.4288939051919,741,21535,3.44091014627351,208,17900,1.16201117318436,23,3951,0.582131106049101,141,89596,0.15737309701326
"14",1,"Piemonte",45.0732745,7.680687483,3867,30626,12.626526480768,4683,187695,2.49500519459762,2784,137177,2.02949474037193,182,24693,0.737050986109424,1217,592949,0.205245307775205
"15",16,"Puglia",41.12559576,16.86736689,504,4491,11.2224448897796,2597,115121,2.25588728381442,3310,127512,2.59583411757325,333,22495,1.48032896199155,828,461315,0.179486901574846
"16",20,"Sardegna",39.21531192,9.110616306,130,1356,9.58702064896755,828,34637,2.39050726102145,482,18122,2.65975057940625,209,19528,1.07025809094633,375,99500,0.376884422110553
"17",19,"Sicilia",38.11569725,13.3623567,274,3439,7.96743239313754,3167,128985,2.45532426251114,2349,89706,2.61855394288007,1190,82423,1.44377176273613,2448,478047,0.51208353990298
"18",9,"Toscana",43.76923077,11.25588885,1041,10093,10.3140790646983,3038,119629,2.53951800984711,2517,106966,2.35308415758278,560,48215,1.16146427460334,1749,566387,0.308799460439593
"19",10,"Umbria",43.10675841,12.38824698,76,1431,5.3109713487072,696,33597,2.07161353692294,620,20332,3.04938028723195,63,8850,0.711864406779661,269,118939,0.226166354181555
"20",2,"Valle d'Aosta",45.73750286,7.320149366,143,1184,12.0777027027027,258,6483,3.9796390559926,68,3796,1.7913593256059,2,717,0.278940027894003,45,19100,0.235602094240838
"21",5,"Veneto",45.43490485,12.33845213,1916,18961,10.1049522704499,6753,284734,2.37168725898558,2629,111142,2.36544240701085,269,57133,0.470831218385171,1991,849147,0.234470592253167
